Destination,Origin,2015 Combined,2020 Combined,2015 Males,2020 Males,2015 Females,2020 Females
Egypt,Angola,19,28,11,16,8,12
Egypt,Antigua and Barbuda,11,15,6,8,5,7
Egypt,Azerbaijan,21,31,21,31,0,0
Egypt,Argentina,161,251,106,155,55,96
Egypt,Australia,303,471,184,261,119,210
Egypt,Austria,389,607,201,277,188,330
Egypt,Bahamas,10,14,3,3,7,11
Egypt,Bahrain,259,404,144,203,115,201
Egypt,Bangladesh,164,255,147,227,17,28
Egypt,Armenia,103,160,48,64,55,96
Egypt,Belgium,362,564,203,286,159,278
Egypt,Bosnia and Herzegovina,40,61,23,33,17,28
Egypt,Brazil,85,130,42,56,43,74
Egypt,Brunei Darussalam,45,68,22,28,23,40
Egypt,Bulgaria,45,68,23,30,22,38
Egypt,Myanmar,8,11,8,11,0,0
Egypt,Burundi,24,35,23,34,1,1
